# Step; t_SCF; t_Grad; Temp; E_Pot; Delta E; RMS(Grad); Max(Grad); Max(Step)
         1;     23.3;      6.5;           ;     -422.89199220;               ;               ;               ;             
         2;     13.3;      7.2;           ;     -422.89211173;    -0.00011953;        32.2870;        90.5046;     0.000350
         3;     12.5;      7.3;           ;     -422.89692261;    -0.00481089;         4.2449;         6.8502;     0.024666
         4;     12.4;      6.9;           ;     -422.89708463;    -0.00016202;         3.6251;         5.7242;     0.002412
         5;     11.4;      6.2;           ;     -422.89717904;    -0.00009441;         7.4892;        29.5186;     0.009647
         6;     12.3;      6.9;           ;     -422.89724709;    -0.00006805;         5.2239;        19.0491;     0.003833
         7;     12.0;      6.8;           ;     -422.89742396;    -0.00017687;         2.4998;         4.8410;     0.004713
         8;     11.4;      6.6;           ;     -422.89745184;    -0.00002788;         1.9464;         4.7070;     0.002736
         9;     13.5;      6.3;           ;     -422.89747554;    -0.00002370;         1.0187;         1.6911;     0.001979
        10;     12.0;      6.3;           ;     -422.89747602;    -0.00000048;         0.6809;         1.1852;     0.000406
